#separator:tab
#html:true
#notetype:Basic
#deck column:1
#columns:Deck	Front	Back	Tags
#tags column:4
popstack::Concepts	In popstack's architecture, what are the three separate things that together make up 'the agent'?	The brain (Claude model), the tools + state (popstack), and the surface (the chat client/app you touch).	popstack agent-architecture
popstack::Concepts	What is the 'brain' in popstack's brain/tools/surface model, and where does it run?	The Claude model that reasons, decomposes, and drills; it runs in Anthropic's cloud and is always remote.	popstack agent-architecture
popstack::Concepts	What does popstack itself provide in the brain/tools/surface model?	The tools + state: goal trees, draw, grounding, Anki/Zotero clients, and your task markdown. It is not the agent's brain.	popstack agent-architecture
popstack::Concepts	What is the 'surface' in popstack's model, and give examples	The thing you actually touch — a chat client or app: Claude Code, the claude.ai app, Obsidian, Anki.	popstack agent-architecture
popstack::Concepts	Why is 'access the agent on my phone' a real build rather than a config toggle in popstack?	You never connect to popstack directly; you connect to a Claude surface (brain-connected) that calls popstack's tools over the network, so a phone surface must be stood up.	popstack phone-access
popstack::Concepts	What does popstack expose as MCP tools (per the Architecture component list)?	Its engine, goals, grounding, and Anki/Zotero clients — server.py exposes all the modules as MCP tools.	popstack mcp
popstack::Concepts	What plays the role of MCP client relative to popstack?	The Claude surface — e.g. Claude Code launches popstack as a subprocess (stdio) or a remote Claude surface calls it over HTTP.	popstack mcp
popstack::Concepts	How does popstack's stdio transport work, and what are its network/auth properties?	The Claude client launches popstack as a child process and talks over stdin/stdout. Local only, no network, no auth. This is the laptop path.	popstack mcp transport
popstack::Concepts	How is popstack reached over the HTTP transport, and over what network for your own devices?	popstack runs as a web server (--http) and a remote Claude surface calls it over the network; for your devices it rides the private tailnet.	popstack mcp transport
popstack::Concepts	What does `claude mcp add` configure, and at what scope?	It configures the Claude Code CLI on one machine — per-machine that runs Claude Code (e.g. your laptop, once).	popstack configuration
popstack::Concepts	What does the claude.ai custom connector configure, and at what scope?	It configures your claude.ai account, once, and applies to every device you're signed into.	popstack configuration
popstack::Concepts	Why does the phone never run `claude mcp add` in popstack's setup?	There is no Claude Code on the phone; configuration is per-machine-running-Claude-Code or per-account, never per-device-you-use.	popstack configuration phone-access
popstack::Concepts	When is a public Tailscale Funnel + OAuth needed for popstack, versus the plain tailnet?	The private tailnet serves your own devices; a public Funnel + OAuth is only needed for the claude.ai cloud connector.	popstack networking
